investing_symbol,sector,sub_sector
LOTT,Basic Materials,Chemicals
LOTU,Consumer Non-Cyclicals,Food & Tobacco
LPGL,Basic Materials,Containers & Packaging
LTER,Basic Materials,Chemicals
LTKM,Consumer Non-Cyclicals,Food & Tobacco
LYCH,Healthcare,Healthcare Providers & Services
LYSA,Basic Materials,Metals & Mining
MAAS,Financials,Insurance
MAEQ,Consumer Cyclicals,Household Goods
MAGA,Consumer Cyclicals,Hotels & Entertainment Services
MAGH,Consumer Non-Cyclicals,Food & Tobacco
MAGM,Consumer Cyclicals,Hotels & Entertainment Services
MAGN,Others,Others
MAHB,Industrials,Transport Infrastructure
MAHS,Others,Others
MALA,Utilities,Electrical Utilities & IPPs
MALY,Basic Materials,Construction Materials
MANS,Technology,Software & IT Services
MARI,Industrials,Transport Infrastructure
MAST,Industrials,Machinery Equipment & Components
MATA,Consumer Non-Cyclicals,Food & Tobacco
MATE,Consumer Cyclicals,Textiles & Apparel
MATI,Industrials,Transport Infrastructure
MATR,Others,Others
MAXI,Industrials,Construction & Engineering
MAXL,Basic Materials,Paper & Forest Products
MAYB,Industrials,Freight & Logistics Services
MAYU,Basic Materials,Metals & Mining
MBBM,Financials,Banking Services
MBMR,Consumer Cyclicals,Automobiles & Auto Parts
MBSB,Financials,Banking Services
MCEI,Consumer Cyclicals,Automobiles & Auto Parts
MCLN,Industrials,Professional & Commercial Services
MCOM,Consumer Cyclicals,Media & Publishing
MCRK,Technology,Software & IT Services
MDCH,Others,Others
MEGA,Energy,Renewable Energy
MEHB,Industrials,Construction & Engineering
MEIS,Industrials,Construction & Engineering
MENT,Basic Materials,Paper & Forest Products
MERC,Financials,Investment Banking & Investment Services
MERI,Others,Others
MESB,Consumer Cyclicals,Specialty Retailers
MEST,Consumer Cyclicals,Homebuilding & Construction Supplies
METB,Consumer Cyclicals,Hotels & Entertainment Services
METO,Healthcare,Healthcare Providers & Services
METR,Others,Others
MFMS,Consumer Non-Cyclicals,Food & Tobacco
MGBB,Industrials,Construction & Engineering
MGRC,Healthcare,Healthcare Providers & Services
MHBS,Consumer Non-Cyclicals,Food & Tobacco
MHCP,Consumer Non-Cyclicals,Food & Tobacco
MHEB,Energy,Oil & Gas Related Equipment and Services
MIEC,Basic Materials,Paper & Forest Products
MIKB,Industrials,Machinery Equipment & Components
MILU,Consumer Cyclicals,Household Goods
MINO,Basic Materials,Metals & Mining
MISC,Industrials,Transport Infrastructure
MITC,Others,Others
MITE,Technology,Semiconductors & Semiconductor Equipment
MITR,Industrials,Construction & Engineering
MJPR,Others,Others
MJYA,Industrials,Construction & Engineering
MKLH,Others,Others
MLBS,Technology,Software & IT Services
MLTO,Others,Others
MMAG,Technology,Software & IT Services
MMMG,Consumer Cyclicals,Media & Publishing
MMSI,Basic Materials,Metals & Mining
MMST,Industrials,Machinery Equipment & Components
MNCS,Others,Others
MNCW,Technology,Software & IT Services
MNGA,Technology,Software & IT Services
MNHL,Industrials,Construction & Engineering
MNHO,Basic Materials,Paper & Forest Products
MNLF,Financials,Insurance
MNRB,Financials,Insurance
MNTH,Basic Materials,Construction Materials
MOBI,Consumer Cyclicals,Household Goods
MPHB,Consumer Cyclicals,Hotels & Entertainment Services
MPIM,Technology,Semiconductors & Semiconductor Equipment
MPIR,Consumer Cyclicals,Household Goods
MPRM,Consumer Cyclicals,Media & Publishing
MQTE,Industrials,Machinery Equipment & Components
MRDI,Consumer Cyclicals,Specialty Retailers
MRHB,Consumer Cyclicals,Textiles & Apparel
MROD,Industrials,Machinery Equipment & Components
MSCB,Basic Materials,Metals & Mining
MSMH,Consumer Non-Cyclicals,Food & Tobacco
MSTG,Consumer Cyclicals,Hotels & Entertainment Services
MSTM,Basic Materials,Metals & Mining
MSTP,Basic Materials,Containers & Packaging
MSWK,Basic Materials,Metals & Mining
MTAG,Industrials,Professional & Commercial Services
MTNC,Industrials,Professional & Commercial Services
MTOU,Technology,Software & IT Services
MUBL,Industrials,Machinery Equipment & Components
MUDA,Basic Materials,Containers & Packaging
MUHB,Others,Others
MUHI,Industrials,Construction & Engineering
MUIB,Consumer Cyclicals,Hotels & Entertainment Services
MUIP,Others,Others
MXSC,Technology,Others
MYCS,Basic Materials,Metals & Mining
MYEG,Technology,Software & IT Services
MYMB,Consumer Non-Cyclicals,Food & Tobacco
MYNE,Consumer Non-Cyclicals,Food & Drug Retailing 
MYRS,Industrials,Construction & Engineering
MYTE,Industrials,Machinery Equipment & Components
NATI,Technology,Electronic Equipment & Parts
NCHB,Industrials,Construction & Engineering
NCTA,Others,Others
NESM,Consumer Non-Cyclicals,Food & Tobacco
NEST,Others,Others
NETX,Technology,Software & IT Services
NEXG,Technology,Software & IT Services
NEXT,Industrials,Professional & Commercial Services
NHFH,Consumer Cyclicals,Automobiles & Auto Parts
NHSN,Consumer Cyclicals,Household Goods
NICH,Consumer Cyclicals,Textiles & Apparel
NMBS,Financials,Holding Companies
NNCB,Technology,Software & IT Services
NOVS,Technology,Software & IT Services
NOVW,Consumer Non-Cyclicals,Food & Tobacco
NPCR,Consumer Non-Cyclicals,Food & Tobacco
NSOS,Consumer Non-Cyclicals,Food & Tobacco
NTPM,Consumer Non-Cyclicals,Personal &Household Products & Services
NVTE,Technology,Computers Phones & Household Electronics
OCBB,Consumer Non-Cyclicals,Food & Tobacco
OCEA,Consumer Cyclicals,Textiles & Apparel
OCEN,Energy,Oil & Gas Related Equipment and Services
OCKG,Technology,Others
OCRG,Others,Others
OFIH,Consumer Non-Cyclicals,Food & Tobacco
OINT,Others,Others
OKAC,Basic Materials,Construction Materials
OLYM,Consumer Cyclicals,Hotels & Entertainment Services
OMES,Technology,Software & IT Services
OMHO,Others,Others
ONEG,Healthcare,Healthcare Equipment & Supplies
ONET,Technology,Software & IT Services
ONLY,Consumer Cyclicals,Hotels & Entertainment Services
OPPS,Technology,Others
OPTI,Healthcare,Healthcare Providers & Services
OPYS,Technology,Software & IT Services
ORGA,Consumer Non-Cyclicals,Food & Tobacco
ORPA,Basic Materials,Containers & Packaging
OSKH,Others,Others
OSKV,Financials,Investment Banking & Investment Services
OTLS,Consumer Cyclicals,Specialty Retailers
OVER,Consumer Cyclicals,Hotels & Entertainment Services
PACO,Financials,Insurance
PAND,Technology,Software & IT Services
PANS,Industrials,Diversified Trading & Distributing
PAOS,Consumer Non-Cyclicals,Personal &Household Products & Services
PAPP,Financials,Banking Services
PARA,Consumer Cyclicals,Homebuilding & Construction Supplies
PARB,Basic Materials,Metals & Mining
PARL,Consumer Cyclicals,Hotels & Entertainment Services
PARW,Others,Others
PASU,Industrials,Construction & Engineering
PBAH,Utilities,Water Utilities
PCCS,Consumer Cyclicals,Textiles & Apparel
PCGB,Basic Materials,Chemicals
PDEC,Others,Others
PDNI,Consumer Cyclicals,Specialty Retailers
PDZH,Industrials,Freight & Logistics Services
PECC,Consumer Cyclicals,Automobiles & Auto Parts
PEGA,Consumer Cyclicals,Household Goods
PEIN,Industrials,Construction & Engineering
PEKA,Utilities,Electrical Utilities & IPPs
PELK,Industrials,Professional & Commercial Services
PENS,Consumer Cyclicals,Household Goods
PEPT,Consumer Non-Cyclicals,Food & Tobacco
PERA,Industrials,Transport Infrastructure
PERM,Technology,Others
PERT,Industrials,Passenger Transportation Services
PESO,Industrials,Construction & Engineering
PETR,Energy,Oil & Gas
PGAS,Utilities,Natural Gas Utilities
PGFC,Basic Materials,Construction Materials
PGKN,Consumer Cyclicals,Hotels & Entertainment Services
PGON,Consumer Cyclicals,Household Goods
PGSV,Industrials,Professional & Commercial Services
PHMA,Healthcare,Pharmaceuticals
PHUA,Consumer Cyclicals,Household Goods
PIEN,Industrials,Machinery Equipment & Components
PIMP,Financials,Holding Companies
PINE,Technology,Others
PINT,Industrials,Construction & Engineering
PIPB,Consumer Non-Cyclicals,Food & Tobacco
PJSB,Industrials,Construction & Engineering
PLBE,Industrials,Construction & Engineering
PLET,Others,Others
PLHB,Consumer Non-Cyclicals,Food & Tobacco
PLSB,Industrials,Construction & Engineering
PLYT,Industrials,Construction & Engineering
PMAS,Industrials,Machinery Equipment & Components
PMBT,Basic Materials,Metals & Mining
PMCS,Consumer Non-Cyclicals,Food & Tobacco
PMET,Basic Materials,Metals & Mining
PMJU,Consumer Cyclicals,Automobiles & Auto Parts
PMMY,Consumer Cyclicals,Household Goods
PNEB,Technology,Semiconductors & Semiconductor Equipment
PNHB,Industrials,Professional & Commercial Services
PNTE,Basic Materials,Metals & Mining
POHK,Consumer Cyclicals,Textiles & Apparel
POLD,Industrials,Professional & Commercial Services
POWE,Consumer Non-Cyclicals,Beverages
POWR,Industrials,Machinery Equipment & Components
PPHB,Basic Materials,Containers & Packaging
PREI,Real Estate,Residential & Commercial REITs
PRGH,Consumer Cyclicals,Textiles & Apparel
PRKN,Consumer Cyclicals,Diversified Retail
PRMS,Others,Others
PROE,Industrials,Construction & Engineering
PROL,Industrials,Construction & Engineering
PRTB,Technology,Software & IT Services
PRTO,Industrials,Construction & Engineering
PSHL,Industrials,Freight & Logistics Services
PSTM,Basic Materials,Containers & Packaging
PTAR,Basic Materials,Metals & Mining
PTMR,Energy,Oil & Gas
PTRD,Energy,Oil & Gas Related Equipment and Services
PTRE,Industrials,Machinery Equipment & Components
PTRS,Consumer Non-Cyclicals,Food & Tobacco
PTTY,Industrials,Construction & Engineering
PUBM,Financials,Banking Services
PUCB,Technology,Software & IT Services
PWFC,Consumer Non-Cyclicals,Food & Tobacco
QCHB,Others,Others
QESG,Industrials,Machinery Equipment & Components
QRES,Consumer Non-Cyclicals,Food & Tobacco
RADI,Consumer Cyclicals,Specialty Retailers
RADU,Others,Others
RALC,Basic Materials,Containers & Packaging
RAMS,Industrials,Professional & Commercial Services
RANH,Utilities,Water Utilities
RAPD,Others,Others
RAYG,Energy,Renewable Energy
RED,Financials,Holding Companies
REDH,Technology,Software & IT Services
REDI,Financials,Banking Services
REDP,Technology,Software & IT Services
REKA,Others,Others
RENE,Industrials,Construction & Engineering
RESE,Energy,Oil & Gas
RESN,Consumer Cyclicals,Homebuilding & Construction Supplies
RESR,Energy,Oil & Gas Related Equipment and Services
REVE,Industrials,Professional & Commercial Services
REXI,Consumer Non-Cyclicals,Food & Tobacco
REXT,Technology,Software & IT Services
RGBI,Consumer Cyclicals,Hotels & Entertainment Services
RGTB,Basic Materials,Chemicals
RHBC,Financials,Banking Services
RHOG,Consumer Cyclicals,Household Goods
RHON,Healthcare,Pharmaceuticals
RIMB,Consumer Non-Cyclicals,Food & Tobacco
ROHA,Industrials,Construction & Engineering
RTON,Technology,Others
RVWL,Consumer Non-Cyclicals,Food & Tobacco
SACB,Industrials,Machinery Equipment & Components
SAEG,Industrials,Machinery Equipment & Components
SAEN,Energy,Oil & Gas Related Equipment and Services
SAHB,Basic Materials,Chemicals
SAHO,Consumer Cyclicals,Media & Publishing
SAIH,Industrials,Machinery Equipment & Components
SALU,Technology,Communications & Networking
SAMA,Industrials,Construction & Engineering
SANC,Healthcare,Healthcare Equipment & Supplies
SAPU,Consumer Cyclicals,Automobiles & Auto Parts
SAUD,Consumer Non-Cyclicals,Food & Tobacco
SBHM,Consumer Non-Cyclicals,Food & Tobacco
SBRK,Consumer Non-Cyclicals,Food & Tobacco
SCCE,Industrials,Machinery Equipment & Components
SCCH,Consumer Non-Cyclicals,Food & Tobacco
SCCM,Industrials,Professional & Commercial Services
SCER,Consumer Cyclicals,Homebuilding & Construction Supplies
SCES,Industrials,Freight & Logistics Services
SCGB,Basic Materials,Chemicals
SCHB,Industrials,Freight & Logistics Services
SCIB,Basic Materials,Construction Materials
SCIE,Basic Materials,Containers & Packaging
SCOG,Industrials,Construction & Engineering
SCPE,Technology,Semiconductors & Semiconductor Equipment
SCST,Consumer Cyclicals,Homebuilding & Construction Supplies
SCTH,Industrials,Machinery Equipment & Components
SCWF,Basic Materials,Chemicals
SDGS,Others,Others
SDGU,Consumer Non-Cyclicals,Food & Tobacco
SDSG,Consumer Non-Cyclicals,Food & Tobacco
SEAL,Others,Others
SECU,Technology,Software & IT Services
SEDA,Technology,Others
SEDU,Others,Others
SENG,Consumer Cyclicals,Automobiles & Auto Parts
SENH,Consumer Cyclicals,Specialty Retailers
SENI,Consumer Cyclicals,Media & Publishing
SENT,Real Estate,Residential & Commercial REITs
SERE,Industrials,Construction & Engineering
SETI,Others,Others
SETIq,Others,Others
SEVE,Consumer Non-Cyclicals,Food & Drug Retailing 
SFCA,Others,Others
SFPT,Basic Materials,Metals & Mining
SGNA,Consumer Cyclicals,Homebuilding & Construction Supplies
SHCS,Consumer Non-Cyclicals,Food & Tobacco
SHGM,Consumer Cyclicals,Hotels & Entertainment Services
SHHR,Consumer Cyclicals,Household Goods
SHIN,Industrials,Freight & Logistics Services
SHLC,Others,Others
SIAB,Industrials,Construction & Engineering
SIAH,Others,Others
SIME,Consumer Non-Cyclicals,Others
SINA,Consumer Cyclicals,Textiles & Apparel
SINM,Consumer Non-Cyclicals,Food & Tobacco
SIPR,Others,Others
SIVR,Technology,Others
SKBC,Consumer Cyclicals,Homebuilding & Construction Supplies
SKOU,Consumer Cyclicals,Household Goods
SKPR,Technology,Electronic Equipment & Parts
SKYW,Industrials,Construction & Engineering
SLCN,Industrials,Construction & Engineering
SLEG,Financials,Holding Companies
SLIN,Technology,Software & IT Services
SLKI,Industrials,Machinery Equipment & Components
SLPB,Basic Materials,Containers & Packaging
SMBH,Consumer Cyclicals,Automobiles & Auto Parts
SMIL,Healthcare,Healthcare Providers & Services
SMIS,Industrials,Machinery Equipment & Components
SMRS,Technology,Software & IT Services
SMTR,Technology,Electronic Equipment & Parts
SNSN,Technology,Software & IT Services
SNTO,Consumer Cyclicals,Homebuilding & Construction Supplies
SOIL,Consumer Cyclicals,Automobiles & Auto Parts
SOLA,Utilities,Electrical Utilities & IPPs
SOPS,Consumer Non-Cyclicals,Food & Tobacco
SOUH,Industrials,Construction & Engineering
SOUS,Basic Materials,Chemicals
SOUT,Industrials,Machinery Equipment & Components
SPLH,Industrials,Machinery Equipment & Components
SPLN,Consumer Non-Cyclicals,Food & Tobacco
SPOR,Consumer Cyclicals,Hotels & Entertainment Services
SPRN,Consumer Cyclicals,Household Goods
SPTZ,Consumer Non-Cyclicals,Beverages
SRCS,Others,Others
SSOL,Basic Materials,Chemicals
STAR,Consumer Cyclicals,Media & Publishing
STEE,Basic Materials,Metals & Mining
STEH,Energy,Oil & Gas Related Equipment and Services
STIK,Basic Materials,Containers & Packaging
STRA,Energy,Oil & Gas
SUBU,Consumer Non-Cyclicals,Food & Tobacco
SUNM,Industrials,Construction & Engineering
SUNS,Others,Others
SUNV,Utilities,Electrical Utilities & IPPs
SUNW,Real Estate,Residential & Commercial REITs
SUPG,Healthcare,Biotechnology & Medical Research
SUPM,Healthcare,Healthcare Equipment & Supplies
SUPR,Consumer Non-Cyclicals,Food & Drug Retailing 
SURI,Industrials,Transport Infrastructure
SWAY,Industrials,Construction & Engineering
SWAYq,Industrials,Construction & Engineering
SWIF,Industrials,Freight & Logistics Services
SWSB,Consumer Cyclicals,Household Goods
SYCA,Industrials,Construction & Engineering
SYML,Others,Others
SYNE,Consumer Cyclicals,Household Goods
SYST,Technology,Software & IT Services
SZBB,Consumer Non-Cyclicals,Food & Tobacco
TAAN,Consumer Non-Cyclicals,Food & Tobacco
TAFI,Industrials,Professional & Commercial Services
TAKA,Financials,Insurance
TALA,Others,Others
TAMB,Others,Others
TANC,Others,Others
TASC,Industrials,Freight & Logistics Services
TASH,Basic Materials,Metals & Mining
TCOM,Technology,Others
TCSG,Industrials,Construction & Engineering
TDMS,Healthcare,Healthcare Providers & Services
TECA,Consumer Cyclicals,Hotels & Entertainment Services
TECB,Basic Materials,Chemicals
TECE,Consumer Cyclicals,Textiles & Apparel
TELA,Others,Others
TENA,Utilities,Electrical Utilities & IPPs
TEXC,Consumer Non-Cyclicals,Others
TFPS,Technology,Software & IT Services
TGIB,Basic Materials,Containers & Packaging
TGLB,Consumer Cyclicals,Textiles & Apparel
TGLO,Energy,Oil & Gas Related Equipment and Services
TGPB,Consumer Non-Cyclicals,Food & Tobacco
THEA,Consumer Non-Cyclicals,Food & Tobacco
THET,Technology,Others
THPB,Consumer Non-Cyclicals,Food & Tobacco
THRB,Industrials,Machinery Equipment & Components
THRI,Others,Others
TITI,Others,Others
TLMM,Technology,Others
TMCN,Healthcare,Healthcare Providers & Services
TMEI,Consumer Cyclicals,Specialty Retailers
TNCS,Consumer Cyclicals,Automobiles & Auto Parts
TNTT,Industrials,Freight & Logistics Services
TOEX,Technology,Software & IT Services
TOMY,Basic Materials,Containers & Packaging
TOPV,Healthcare,Healthcare Providers & Services
TOYO,Basic Materials,Chemicals
TPCP,Consumer Non-Cyclicals,Food & Tobacco
TPGC,Healthcare,Healthcare Equipment & Supplies
TRCG,Industrials,Construction & Engineering
TRIM,Industrials,Freight & Logistics Services
TRIV,Industrials,Machinery Equipment & Components
TROP,Others,Others
TSAG,Basic Materials,Metals & Mining
TSCP,Consumer Non-Cyclicals,Food & Tobacco
TSHB,Basic Materials,Chemicals
TSHR,Consumer Non-Cyclicals,Food & Tobacco
TSOF,Industrials,Machinery Equipment & Components
TSRP,Industrials,Construction & Engineering
TTVS,Technology,Semiconductors & Semiconductor Equipment
TUJU,Industrials,Construction & Engineering
TUNE,Financials,Insurance
TURB,Industrials,Machinery Equipment & Components
TURY,Technology,Semiconductors & Semiconductor Equipment
TWEL,Basic Materials,Paper & Forest Products
TWHB,Industrials,Machinery Equipment & Components
TWLH,Others,Others
TWPH,Industrials,Professional & Commercial Services
TWRE,Real Estate,Residential & Commercial REITs
TWRK,Utilities,Water Utilities
TXCY,Industrials,Professional & Commercial Services
UCHI,Technology,Electronic Equipment & Parts
UCRE,Technology,Software & IT Services
UEME,Industrials,Professional & Commercial Services
UMEC,Industrials,Machinery Equipment & Components
UMED,Healthcare,Healthcare Equipment & Supplies
UMRS,Consumer Non-Cyclicals,Food & Tobacco
UMSB,Others,Others
UMSH,Industrials,Diversified Trading & Distributing
UMSN,Industrials,Machinery Equipment & Components
UNIQ,Others,Others
UNIT,Consumer Cyclicals,Homebuilding & Construction Supplies
UNIW,Industrials,Construction & Engineering
UNSM,Technology,Semiconductors & Semiconductor Equipment
UOAD,Others,Others
UOAR,Real Estate,Residential & Commercial REITs
UPAB,Basic Materials,Paper & Forest Products
UTPS,Consumer Non-Cyclicals,Food & Tobacco
UULI,Basic Materials,Metals & Mining
UWCB,Industrials,Machinery Equipment & Components
UZMA,Energy,Oil & Gas Related Equipment and Services
VARI,Industrials,Construction & Engineering
VELE,Energy,Oil & Gas Related Equipment and Services
VELO,Consumer Cyclicals,Household Goods
VEST,Consumer Cyclicals,Homebuilding & Construction Supplies
VINV,Industrials,Construction & Engineering
VIZI,Others,Others
VOLC,Basic Materials,Metals & Mining
VSDY,Industrials,Machinery Equipment & Components
VSID,Technology,Electronic Equipment & Parts
VSOL,Technology,Software & IT Services
VSTE,Technology,Computers Phones & Household Electronics
VSTL,Basic Materials,Containers & Packaging
VTRX,Technology,Semiconductors & Semiconductor Equipment
WAJA,Industrials,Construction & Engineering
WASC,Energy,Oil & Gas Related Equipment and Services
WATA,Industrials,Professional & Commercial Services
WATC,Industrials,Machinery Equipment & Components
WCAL,Consumer Cyclicals,Automobiles & Auto Parts
WCEH,Industrials,Transport Infrastructure
WCTE,Industrials,Construction & Engineering
WEGM,Consumer Cyclicals,Household Goods
WELL,Consumer Non-Cyclicals,Food & Drug Retailing 
WENG,Industrials,Machinery Equipment & Components
WENT,Basic Materials,Metals & Mining
WGZH,Basic Materials,Paper & Forest Products
WHSE,Consumer Cyclicals,Homebuilding & Construction Supplies
WIDA,Industrials,Construction & Engineering
WLAN,Consumer Cyclicals,Homebuilding & Construction Supplies
WLOW,Technology,Software & IT Services
WMGH,Others,Others
WPHB,Industrials,Transport Infrastructure
WTKH,Basic Materials,Paper & Forest Products
XIDE,Consumer Cyclicals,Textiles & Apparel
XINS,Basic Materials,Construction Materials
XINW,Industrials,Freight & Logistics Services
XLHO,Consumer Non-Cyclicals,Food & Tobacco
XOXB,Technology,Others
XOXN,Consumer Cyclicals,Specialty Retailers
XOXT,Technology,Software & IT Services
YBSI,Industrials,Machinery Equipment & Components
YBVE,Consumer Cyclicals,Homebuilding & Construction Supplies
YENH,Consumer Non-Cyclicals,Food & Tobacco
YEWL,Consumer Non-Cyclicals,Personal &Household Products & Services
YGCB,Others,Others
YGLC,Technology,Software & IT Services
YGON,Consumer Cyclicals,Household Goods
YINS,Energy,Oil & Gas Related Equipment and Services
YLIH,Basic Materials,Metals & Mining
YNHB,Others,Others
YONG,Others,Others
YONGq,Others,Others
YSPS,Healthcare,Pharmaceuticals
YTLP,Utilities,Multiline Utilities
YTLR,Real Estate,Residential & Commercial REITs
YTLS,Utilities,Multiline Utilities
YXPR,Consumer Cyclicals,Textiles & Apparel
ZANT,Basic Materials,Chemicals
ZCON,Industrials,Construction & Engineering
ZENT,Technology,Software & IT Services
ZHCO,Consumer Cyclicals,Textiles & Apparel
ZLAN,Industrials,Construction & Engineering
